Block,ScreenCoordX,ScreenCoordY,InitialHoldX,InitialHoldY,Row,Col
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 1. 1.]
 [0. 0. 1.]]",1258,215,185,1063,1168,289
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,468,442,1063,1168,544
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,892,1016,1121,996
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,234,1015,1120,337
"[[1. 1. 1.]
 [0. 0. 1.]]",1258,468,441,1063,1168,544
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,802
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1.]
 [1. 0.]
 [1. 0.]]",1258,468,490,1015,1120,593
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,892,1016,1121,996
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,215,233,1015,1120,337
"[[1. 1. 1.]
 [1. 0. 0.]
 [1. 0. 0.]]",1258,468,441,1015,1120,546
"[[1. 1. 1.]
 [0. 0. 1.]]",1258,733,698,1063,1168,803
"[[0. 1. 0.]
 [1. 1. 1.]]",1258,215,282,1063,1168,384
[[1. 1. 1. 1. 1.]],1258,468,344,1112,1217,449
"[[1. 1.]
 [1. 1.]]",1258,733,747,1063,1168,849
"[[1. 1.]
 [1. 0.]]",1258,215,233,1063,1168,338
"[[1. 0.]
 [0. 1.]]",1258,468,490,1063,1168,592
"[[1. 0.]
 [0. 1.]]",1258,733,748,1063,1169,850
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,215,184,1063,1168,288
"[[0. 1. 0.]
 [1. 1. 1.]]",1258,468,538,1063,1168,642
[[1. 1. 1. 1. 1.]],1258,733,601,1112,1217,706
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,468,537,967,1071,641
"[[1. 1. 1.]
 [0. 0. 1.]
 [0. 0. 1.]]",1258,215,184,1015,1120,288
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,733,794,967,1071,899
[[1. 1. 1. 1. 1.]],1258,215,100,1112,1217,191
"[[1. 1. 1.]
 [0. 1. 0.]]",1258,733,698,1063,1168,803
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1063,1168,738
"[[0. 0. 1.]
 [1. 1. 1.]]",1258,468,636,1063,1168,738
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,733,794,967,1071,899
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,733,698,1063,1168,803
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,468,441,1015,1120,545
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,733,747,1015,1120,850
"[[1.]
 [1.]]",1258,215,282,1063,1168,384
[[1. 1.]],1258,468,489,1112,1217,593
"[[1. 1.]
 [1. 1.]]",1258,733,747,1063,1168,850
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,593
[[1. 1. 1. 1. 1.]],1258,733,601,1112,1217,706
"[[1.]
 [1.]]",1258,215,282,1063,1168,384
"[[1.]
 [1.]]",1258,215,282,1063,1168,384
"[[0. 1.]
 [0. 1.]
 [1. 1.]]",1258,468,587,1015,1120,690
